       Time       Step R C A P        CPU
          0          0 301 120 0 0          0
   0.173229          8 293 112 8 0   0.000104
   0.180209          9 292 111 9 0   0.000114
    0.19045         10 291 110 10 0   0.000124
   0.224491         11 290 109 11 0   0.000133
    0.24952         12 289 108 12 0   0.000143
   0.251425         13 288 107 13 0   0.000152
   0.258683         14 287 106 14 0   0.000161
   0.276046         15 286 105 15 0   0.000171
   0.277976         16 285 104 16 0    0.00018
   0.323876         17 284 103 17 0    0.00019
   0.334081         18 283 102 18 0   0.000199
   0.343688         19 282 101 19 0   0.000208
   0.349152         20 281 100 20 0   0.000217
   0.354101         21 280 99 21 0   0.000227
   0.357593         22 279 98 22 0   0.000236
   0.403357         23 278 97 23 0   0.000246
    0.41075         24 277 96 24 0   0.000254
   0.411456         25 276 95 25 0   0.000268
   0.424946         26 275 94 26 0   0.000277
   0.444299         27 274 93 27 0   0.000286
   0.453337         28 273 92 28 0   0.000296
   0.464819         29 272 91 29 0   0.000305
   0.496283         30 271 90 30 0   0.000315
   0.525214         31 270 89 31 0   0.000324
   0.525723         32 269 88 32 0   0.000334
   0.541541         33 268 87 33 0   0.000343
   0.568319         34 267 86 34 0   0.000352
   0.569797         35 266 85 35 0   0.000362
   0.573403         36 265 84 36 0   0.000367
   0.574238         37 264 83 37 0   0.000373
   0.605838         38 263 82 38 0   0.000378
   0.618438         39 262 81 39 0   0.000383
   0.624023         40 261 80 40 0   0.000388
   0.624119         41 260 79 41 0   0.000393
   0.630594         42 259 78 42 0   0.000398
   0.658972         43 258 77 43 0   0.000404
   0.693416         44 257 76 44 0   0.000409
   0.696919         45 256 75 45 0   0.000414
   0.711672         46 255 74 46 0   0.000419
   0.747633         47 254 73 47 0   0.000424
   0.777114         48 253 72 48 0   0.000429
    0.88721         49 252 71 49 0   0.000435
   0.901156         50 251 70 50 0    0.00044
   0.905272         51 250 69 51 0   0.000445
   0.938376         52 249 68 52 0    0.00045
   0.938449         53 248 67 53 0   0.000456
   0.959461         54 247 66 54 0   0.000461
   0.960526         55 246 65 55 0   0.000466
   0.967703         56 246 66 54 1   0.000471
   0.971704         57 246 67 53 2   0.000475
    1.02081         58 245 66 54 2   0.000479
     1.0864         59 244 65 55 2   0.000483
    1.11271         60 243 64 56 2   0.000487
     1.1899         61 242 63 57 2   0.000492
    1.21837         62 241 62 58 2   0.000496
    1.25429         63 240 61 59 2     0.0005
     1.2612         64 239 60 60 2   0.000504
    1.29598         65 238 59 61 2   0.000508
    1.29966         66 237 58 62 2   0.000512
     1.3054         67 236 57 63 2   0.000516
     1.3202         68 235 56 64 2    0.00052
    1.32595         69 235 57 63 3   0.000525
    1.35238         70 235 58 62 4   0.000529
    1.35992         71 234 57 63 4   0.000533
    1.37047         72 233 56 64 4   0.000537
    1.40989         73 232 55 65 4   0.000541
     1.4115         74 231 54 66 4   0.000545
    1.44888         75 230 53 67 4   0.000549
     1.4856         76 229 52 68 4   0.000553
    1.48786         77 228 51 69 4   0.000557
    1.52361         78 227 50 70 4   0.000574
    1.54481         79 226 49 71 4   0.000578
    1.57986         80 225 48 72 4   0.000582
    1.64879         81 224 47 73 4   0.000587
    1.68049         82 224 48 72 5   0.000591
    1.70683         83 224 49 71 6   0.000595
    1.72034         84 224 50 70 7   0.000599
    1.83596         85 224 51 69 8   0.000603
    2.05247         86 224 52 68 9   0.000607
      2.102         87 223 51 69 9   0.000612
    2.14721         88 222 50 70 9   0.000616
    2.19391         89 221 49 71 9    0.00062
    2.31779         90 220 48 72 9   0.000624
    2.33256         91 219 47 73 9   0.000628
    2.33945         92 218 46 74 9   0.000634
    2.34711         93 217 45 75 9   0.000638
    2.39041         94 216 44 76 9   0.000643
    2.41653         95 215 43 77 9   0.000647
    2.43073         96 214 42 78 9   0.000651
    2.47192         97 213 41 79 9   0.000655
    2.51536         98 213 42 78 10   0.000659
    2.69263         99 212 41 79 10   0.000663
    2.79277        100 211 40 80 10   0.000667
     2.8134        101 210 39 81 10   0.000671
    2.82399        102 209 38 82 10   0.000675
    2.90546        103 208 37 83 10   0.000679
    2.96137        104 207 36 84 10   0.000683
    2.98484        105 206 35 85 10   0.000688
    3.00354        106 205 34 86 10   0.000692
    3.03416        107 205 35 85 11   0.000696
    3.06379        108 205 36 84 12     0.0007
     3.1029        109 204 35 85 12   0.000704
    3.11435        110 203 34 86 12   0.000708
    3.15723        111 202 33 87 12   0.000712
    3.22826        112 202 34 86 13   0.000716
    3.40323        113 201 33 87 13   0.000721
    3.41168        114 201 34 86 14   0.000725
    3.41505        115 200 33 87 14   0.000729
    3.47411        116 200 34 86 15   0.000733
    3.52531        117 200 35 85 16   0.000737
    3.59723        118 200 36 84 17   0.000741
    3.65062        119 199 35 85 17   0.000745
    3.66969        120 199 36 84 18   0.000749
    3.69666        121 198 35 85 18   0.000753
    3.79359        122 198 36 84 19   0.000757
    3.88219        123 197 35 85 19   0.000761
    3.88225        124 196 34 86 19   0.000765
    3.94391        125 196 35 85 20   0.000769
    3.95049        126 196 36 84 21   0.000773
     3.9522        127 195 35 85 21   0.000777
    3.99393        128 194 34 86 21   0.000782
    4.06213        129 193 33 87 21   0.000786
    4.06953        130 192 32 88 21    0.00079
    4.08095        131 191 31 89 21   0.000794
    4.10025        132 191 32 88 22   0.000798
    4.17167        133 190 31 89 22   0.000802
    4.20854        134 190 32 88 23   0.000806
    4.36494        135 189 31 89 23    0.00081
     4.3795        136 189 32 88 24   0.000814
    4.51951        137 189 33 87 25   0.000818
    4.67819        138 188 32 88 25   0.000823
    4.68527        139 187 31 89 25   0.000827
    4.73714        140 186 30 90 25   0.000831
    4.77891        141 186 31 89 26   0.000835
    4.86026        142 185 30 90 26   0.000839
    4.94057        143 184 29 91 26   0.000843
    5.00234        144 184 30 90 27   0.000847
    5.03433        145 184 31 89 28   0.000851
    5.32808        146 184 32 88 29   0.000855
    5.39436        147 184 33 87 30   0.000859
    5.48009        148 184 34 86 31   0.000864
